instance,cols,rows,nz,feasibleLP,secLPOpt,objLP,cpropFeas,cpropTime,ppLPTime,ppCols,ppRows,ppNZ,ppLPOptTime,ppLPObj,ppLPFeasible,roundspc,cutspc,secspc,objpc,error
ua_BPWC_1_8_10.lp,1548,9257,21131,1,0.0544,47.76,1,0.0085,0.0110,1293,6801,15723,0.0442,47.76,1,2,190,0.23,47.76,""
uELGN_BPWC_3_2_18.lp,114957,1348796,2925507,0,0.0000,1.79769e+308,0,0.0000,0.0000,0,0,0,0.0000,1.79769e+308,0,0,0,0.00,1.79769e+308,"user's terminal is disconnected."
bip20-3.lp,20,10,37,1,0.0005,-52.3052,1,0.0001,0.0001,17,7,21,0.0002,-37.5905,1,2,14,0.00,-10,""
bip20-5.lp,20,17,68,1,0.0004,-18.1175,1,0.0001,0.0001,18,16,56,0.0002,-17.9519,1,2,43,0.00,11.1333,""
bip20-7.lp,20,13,69,1,0.0020,-7.98043,1,0.0004,0.0005,16,12,56,0.0006,-3.62802,1,2,13,0.01,23.4536,""
bip0.lp,8,5,14,1,0.0014,-22.3704,1,0.0002,0.0001,8,5,14,0.0005,-22.3704,1,2,3,0.00,-17,""
bip1.lp,10,8,32,1,0.0015,-22.5857,1,0.0003,0.0004,10,8,28,0.0006,-22.5857,1,2,3,0.00,-11.75,""
bip2.lp,10,8,22,1,0.0020,-21.7333,1,0.0004,0.0005,7,3,10,0.0006,-3,1,2,2,0.00,0,""
bip3.lp,10,7,24,1,0.0013,-15.5,1,0.0003,0.0003,8,5,17,0.0004,-9.5,1,2,1,0.00,-7.5,""
bip4.lp,20,12,81,1,0.0005,-62.4286,1,0.0001,0.0001,20,12,81,0.0002,-62.4286,1,2,1,0.00,-61.0899,""
bip5.lp,8,7,16,1,0.0018,-41.2222,1,0.0004,0.0004,2,0,0,0.0001,-5,1,1,0,0.00,1.79769e+308,""
bip6.lp,6,4,9,1,0.0014,-6.16667,1,0.0004,0.0003,2,0,0,0.0001,22,1,1,0,0.00,1.79769e+308,""
bip7.lp,0,0,0,0,0.0000,1.79769e+308,0,0.0000,0.0000,0,0,0,0.0000,1.79769e+308,0,0,0,0.00,1.79769e+308,"abort called."
bip4c.lp,20,13,82,0,0.0005,1.79769e+308,0,0.0001,0.0000,0,0,0,0.0000,1.79769e+308,0,0,0,0.00,1.79769e+308,""
bipa.lp,12,29,72,0,0.0018,1.79769e+308,0,0.0002,0.0000,0,0,0,0.0000,1.79769e+308,0,0,0,0.00,1.79769e+308,""
bip20-1.lp,20,10,34,1,0.0004,-86.3214,1,0.0001,0.0001,12,2,7,0.0001,-47,1,1,0,0.00,1.79769e+308,""
bip20-2.lp,20,10,40,1,0.0005,-33.2095,1,0.0001,0.0001,12,5,17,0.0001,-19.8074,1,2,8,0.00,-6.45,""
bip20-3.lp,20,10,37,1,0.0019,-52.3052,1,0.0004,0.0005,17,7,21,0.0005,-37.5905,1,2,14,0.00,-10,""
bip20-4.lp,0,0,0,0,0.0000,1.79769e+308,0,0.0000,0.0000,0,0,0,0.0000,1.79769e+308,0,0,0,0.00,1.79769e+308,"abort called."
bip20-5.lp,20,17,68,1,0.0021,-18.1175,1,0.0005,0.0004,18,16,56,0.0006,-17.9519,1,2,43,0.01,11.1333,""
bip20-6.lp,20,13,66,1,0.0015,-42.3359,1,0.0004,0.0004,16,12,45,0.0006,-36.1792,1,3,11,0.01,-15.9226,""
bip20-7.lp,20,13,69,1,0.0018,-7.98043,1,0.0004,0.0005,16,12,56,0.0007,-3.62802,1,2,13,0.01,23.4536,""
bip20-8.lp,0,0,0,0,0.0000,1.79769e+308,0,0.0000,0.0000,0,0,0,0.0000,1.79769e+308,0,0,0,0.00,1.79769e+308,"abort called."
bip20-2.lp,20,10,40,1,0.0021,-33.2095,1,0.0005,0.0005,12,5,17,0.0007,-19.8074,1,0,0,0.00,1.79769e+308,""
bip20-2.lp,20,10,40,1,0.0004,-33.2095,1,0.0001,0.0001,12,5,17,0.0001,-19.8074,1,0,0,0.00,1.79769e+308,""
bip20-2.lp,20,10,40,1,0.0014,-33.2095,1,0.0003,0.0004,12,5,17,0.0005,-19.8074,1,0,0,0.00,1.79769e+308,""
bip20-2.lp,20,10,40,1,0.0005,-33.2095,1,0.0001,0.0000,0,0,0,0.0000,1.79769e+308,0,0,0,0.00,1.79769e+308,"abort called."
bip20-2.lp,20,10,40,1,0.0005,-33.2095,1,0.0001,0.0002,12,5,17,0.0002,-19.8074,1,0,0,0.00,1.79769e+308,""
bip20-1.lp,20,10,34,1,0.0014,-86.3214,1,0.0004,0.0004,12,2,7,0.0003,-47,1,0,0,0.00,1.79769e+308,""
bip20-3.lp,20,10,37,1,0.0004,-52.3052,1,0.0001,0.0001,17,7,21,0.0001,-37.5905,1,0,0,0.00,1.79769e+308,""
bip20-3.lp,20,10,37,1,0.0004,-52.3052,1,0.0001,0.0004,17,7,21,0.0006,-37.5905,1,0,0,0.00,1.79769e+308,""
bip20-3.lp,20,10,37,1,0.0015,-52.3052,1,0.0004,0.0004,17,7,21,0.0005,-37.5905,1,2,14,0.00,-10,""
enigma.mps.gz,100,21,289,1,0.0033,0,1,0.0008,0.0002,100,21,289,0.0020,0,1,1,0,0.00,1.79769e+308,""
comp11_2idx.mps.gz,4371,5543,23922,1,0.0507,0,1,0.0131,0.0160,4368,5540,23916,0.0524,0,1,1,0,0.06,1.79769e+308,""
10teams.mps.gz,2025,230,12150,1,0.0581,917,1,0.0017,0.0005,2025,230,12150,0.0519,917,1,1,0,0.09,1.79769e+308,""
rmine6.mps.gz,1096,7078,18084,1,0.0686,-462.306,1,0.0065,0.0023,1096,7078,18084,0.0669,-462.306,1,2,6,0.74,-462.306,""
stdc0025.mps.gz,46232,21336,166414,1,0.5883,-1.74307e+06,1,0.0851,0.1254,45691,20794,165872,0.5817,-1.74307e+06,1,2,6337,30.04,1.41008e+07,""
